Gene Name,Common-Name,Accession-1
EG12874,yajI,b0412
G0-9603,rdlA,b4420
G6886,sodC,b1646
EG12207,rlmA,b1822
EG11377,plsC,b3018
G6960,ydjI,b1773
EG10355,fucU,b2804
G6314,ybcW,b0559
EG12628,dppF,b3540
EG11472,rmuC,b3832
EG10516,kdpD,b0695
G6194,yahO,b0329
EG11575,leuD,b0071
EG12163,rsmB,b3289
G6973,yeaK,b1787
EG10347,ftsZ,b0095
G6313,ybcV,b0558
EG10619,murC,b0091
EG12851,ybeL,b0643
G0-9581,sokC,b4413
G6878,gstA,b1635
EG12098,rluD,b2594
G6959,ydjH,b1772
EG10350,fucK,b2803
G6312,borD,b0557
EG12627,dppD,b3541
EG11465,yigG,b3818
G6461,macA,b0878
G6191,yahL,b0326
EG11280,leuL,b0075
EG12044,rsuA,b2183
G6339,citG,b0613
EG10342,ftsQ,b0093
G6311,rzpD,b0556
EG12127,treB,b4240
EG12843,ybaN,b0468
G0-9042,rdlD,b4454
G6811,sad,b1525
EG12022,dusC,b2140
EG11371,pgpC,b2560
G6953,ynjF,b1758
EG10349,fucI,b2802
G6310,rrrD,b0555
EG12518,ytfR,b4485
EG11445,argK,b2918
EG10515,kdpC,b0696
G6081,yaaX,b0005
EG11226,leuA,b0074
EG11932,dusA,b4049
EG11882,yiiX,b3937
EG10340,ftsE,b3463
G6309,essD,b0554
EG10606,mrdA,b0635
EG12710,yedJ,b1962
G0-8901,micC,b4427
G6806,tam,b1519
EG11921,rluF,b4022
EG10348,fucA,b2800
G6947,ydjZ,b1752
G7932,yjiM,b4335
G6307,ybcQ,b0551
EG12358,ssuB,b0933
EG11436,ahr,b4269
G6440,mdfA,b0842
G0-16640,ytiA,b4715
EG11040,tyrB,b4054
EG11888,trmL,b3606
EG10237,dnaC,b4361
G7928,kptA,b4331
G6306,rusA,b0550
EG12125,hisQ,b2308
EG12708,ybcI,b0527
G0-8899,mcaS,b4426
G6660,tpx,b1324
EG11794,rlmM,b2806
EG10282,fbaA,b2925
EG11370,ubiA,b4040
G6946,ydjY,b1751
G7914,sgcE,b4301
G6305,ybcO,b0549
EG12347,tcyN,b1917
EG11400,yhiD,b3508
EG10514,kdpB,b0697
G0-10583,ykfM,b4586
EG10497,ilvE,b3770
EG11779,trmI,b2960
EG10013,mepM,b1856
G7911,yjhH,b4298
G6304,ninE,b0548
EG10605,mrcB,b0149
EG12704,yggM,b2956
G0-8878,cyaR,b4438
G6487,ycbX,b0947
EG11768,selU,b0503
G7860,ulaF,b4198
G6935,ydjO,b1730
EG10253,ebgC,b3077
G6303,ybcN,b0547
EG12320,yadG,b0127
EG11345,hflD,b1132
G6439,ybjG,b0841
EG12868,yciN,b1273
EG11234,ydiB,b1692
EG11757,tsaE,b4168
G7688,aaeR,b3243
G7859,ulaE,b4197
G6302,ybcM,b0546
EG12102,feoB,b3409
EG12391,ydiE,b1705
G0-8873,glmZ,b4456
G6438,gstB,b0838
EG11538,yfiC,b2575
G7553,yghU,b2989
EG11367,barA,b2786
G6931,yniB,b1726
EG10252,ebgA,b3076
G6301,ybcL,b0545
EG12305,sapF,b1290
EG11293,lolB,b1209
EG10513,kdpA,b0698
EG12865,ydcH,b1426
EG10082,aroL,b0388
EG11507,rlmE,b3179
G7430,casA,b2760
G7517,scpC,b2920
G6300,ybcK,b0544
EG10604,mraY,b0087
EG12379,yecE,b1868
G0-8872,ryhB,b4451
G6208,frmB,b0355
EG11503,trmO,b0195
EG10144,chbF,b1734
G6930,yniA,b1725
G7516,scpB,b2919
G6298,renD,b0542
EG12304,sapD,b1291
EG11267,yiaB,b3563
G6432,gsiD,b0832
EG12857,yfiM,b2586
EG10081,aroK,b3390
EG11372,tadA,b2559
G7429,casB,b2759
G7493,yqeA,b2874
G6295,ybcC,b0539
EG12095,secG,b3175
EG12375,ycaI,b0913
G0-8866,micA,b4442
G6157,paoA,b0286
EG11362,gluQ,b0144
EG10114,bglB,b3721
EG11359,gspO,b3335
G6913,ydiJ,b1687
G7419,ygbL,b2738
G6152,intF,b0281
EG12275,xylG,b3567
EG11261,nfsA,b0851
EG10479,hycF,b2720
EG12842,ybjC,b0850
EG10078,aroF,b2601
EG11344,mnmA,b1133
G7428,casC,b2758
G7234,yfdE,b2371
G6151,yagN,b0280
EG10580,mepA,b2328
EG12373,ppnN,b2795
G0-8863,rprA,b4431
G6156,paoB,b0285
EG11311,dusB,b3260
G7946,yjjP,b4364
EG10085,ascB,b2716
G6911,ydiH,b1685
G7195,folX,b2303
G6150,yagM,b0279
EG12079,nikE,b3480
EG11195,yidA,b3697
G6418,opgE,b0815
EG12605,yacL,b0119
EG10077,aroE,b3281
EG11254,rlmH,b0636
G7427,casD,b2757
G6661,ycjG,b1325
G6149,yagL,b0278
EG12093,nuoN,b2276
EG12365,prkB,b3355
G0-10677,fnrS,b4699
G6155,paoC,b0284
EG11247,rlmD,b2785
EG10055,araD,b0061
G6163,ecpB,b0292
EG11354,emrA,b2685
G6902,ydhY,b1674
G6343,citD,b0617
G6148,yagK,b0277
EG12078,nikD,b3479
EG11164,ygiB,b3037
EG10477,hycD,b2722
EG12448,ybcH,b0567
EG10076,aroD,b1693
EG11177,truB,b3166
G7426,casE,b2756
G6342,citE,b0616
G6147,yagJ,b0276
EG10544,lpp,b1677
EG12342,yjjJ,b4385
G0-10671,mgrR,b4698
EG12600,yjjX,b4394
EG11171,tsaD,b3064
G7933,yjiN,b4336
EG10053,araB,b0063
G6901,ydhV,b1673
G6341,citF,b0615
G6144,yagI,b0272
EG12059,ccmA,b2201
EG11133,nlpC,b1708
G6410,ybhS,b0793
