Gene Name,Common-Name,Accession-1
G0-16656,yoeH,b4641
EG11006,tnaB,b3709
G6214,yaiX_1,b0362
EG10702,pgi,b4025
G0-10531,insEF-4,
EG10586,metG,b2114
EG10602,motB,b1889
EG10198,cysW,b2423
G7582,ubiK,b3042
EG10688,pck,b3403
EG11320,nrdR,b0413
EG11401,psiF,b0384
EG10553,lysU,b4129
G0-10530,insEF-3,
EG11435,marR,b1530
EG11350,waaS,b3629
EG11157,ygeA,b2840
EG10324,fliN,b1946
EG11795,gcvA,b2808
G7300,hyfC,b2483
EG10561,malQ,b3416
G6211,yaiX_2,b0359
EG10576,mdh,b3236
G0-10529,insEF-2,
EG10552,lysS,b2890
EG10323,fliM,b1945
EG12883,pitB,b2987
G7568,ygiQ,b4469
EG11212,nsrR,b4178
EG10978,sspB,b3228
EG10368,epd,b2927
G0-10528,insEF-5,
EG10532,leuS,b0642
EG11856,fdoI,b3892
EG11144,yfcA,b2327
EG10322,fliL,b1944
EG11668,atoC,b2220
EG10560,malP,b3417
G0-16655,yoeD,b4642
EG10991,tdcC,b3116
G6192,yahM,b0327
EG10367,gapA,b1779
G0-10525,insEF-1,
EG10492,ileS,b0026
EG12089,nuoI,b2281
EG10321,fliC,b1923
EG10197,cysU,b2424
G7551,yghS,b2985
EG10283,fbp,b4232
EG11109,mngR,b0730
EG10977,sspA,b3229
EG10453,hisS,b2514
G0-10430,insA-4,b4516
EG11434,marA,b1531
EG11341,waaQ,b3632
EG11139,yecA,b1908
EG10320,flhD,b1892
EG11519,nikR,b3481
G7282,eutH,b2452
EG11237,chiA,b3338
G6189,yahJ,b0324
EG10258,eno,b2779
EG11750,rpnA,b3411
EG10410,glyS,b3559
EG12087,nuoG,b2283
EG10319,flhC,b1891
EG12853,abgT,b1336
G7550,yghR,b2984
G6851,ynfK,b1593
EG10845,rho,b3783
EG10966,spoT,b3650
EG11748,rpnC,b0132
EG10409,glyQ,b3560
EG11842,yihP,b3877
EG11137,yebC,b1864
EG10229,flk,b2321
EG11514,gltF,b3214
G0-16654,pawZ,b4643
EG10988,tar,b1886
G6185,yahF,b0320
EG11727,cbrC,b3717
EG10407,gltX,b2400
EG12086,nuoE,b2285
G7640,yraK,b3145
EG10182,cyoE,b0428
G7535,yghD,b2968
EG10124,bisC,b3551
EG10801,putA,b1014
EG10714,phnD,b4105
EG10390,glnS,b0680
EG11714,cbrA,b3690
EG11249,mazF,b2782
EG11340,waaP,b3630
EG11134,ydjA,b1765
G7637,yraH,b3142
EG11449,hdfR,b4480
G7258,zipA,b2412
G6184,yahE,b0319
EG11035,tsx,b0411
EG10196,cysS,b0526
EG12084,nuoC,b2286
G7210,yfcV,b2339
EG12836,yhdY,b3270
G7529,yggU,b2953
EG10122,bioH,b3412
EG10715,phnF,b4102
EG10713,phnC,b4106
EG11010,tolQ,b0737
EG10097,aspS,b1866
EG11841,yihO,b3876
EG11126,yciF,b1258
G7206,yfcR,b2335
EG11335,nadR,b4390
G0-16653,ypjI,b4644
EG10987,tap,b1885
G6182,yahC,b0317
EG11008,tolB,b0740
EG10094,asnS,b0930
EG12083,nuoB,b2287
G7205,yfcQ,b2334
EG10181,cyoD,b0429
G7524,yqgE,b2948
EG10121,bioF,b0776
EG10457,hns,b1237
EG10572,mazG,b2781
EG10071,argS,b1876
EG11007,tolA,b0739
EG11158,fau,b2912
EG11339,waaG,b3631
EG11125,yciE,b1257
G7204,yfcP,b2333
EG11230,melR,b4118
G7254,mntH,b2392
G6177,ykgF,b0307
EG10800,purR,b1658
G6362,ybeY,b0659
EG11774,nuoF,b2284
G6794,ydeS,b1504
EG12835,yhdX,b3269
G7520,yggP,b4465
EG10120,bioD,b0778
EG10442,hipB,b1508
EG10413,gpp,b3779
EG10302,fhuA,b0150
G6096,tilS,b0188
EG11840,yihN,b3874
EG11122,yciB,b1254
G6793,ydeR,b1503
EG11218,creB,b4398
G0-10682,ykgQ,b4631
EG10952,bamE,b2617
G6176,ykgE,b0306
G7129,fbaB,b2097
EG10293,fepA,b0584
G0-10610,symR,b4625
G6547,csgB,b1041
G8221,ilvG_1,b3767
EG10180,cyoC,b0430
G7515,yqfE,b2915
EG10119,bioC,b0777
EG10441,ihfB,b0912
EG10230,dksA,b0145
G0-10465,arfA,b4550
EG10169,cvpA,b2313
EG11081,ispH,b0029
EG11295,wzzE,b3785
EG11108,ybgA,b0707
G6485,ycbV,b0943
EG11149,gcvR,b2479
G7251,yfeO,b2389
G6166,ykgL,b0295
EG11015,tpiA,b3919
EG10155,cirA,b2155
EG12354,arfB,b0191
G6484,ycbU,b0942
G8209,molR_3,b2117
EG12834,yhdW,b3268
G7513,yqfB,b2900
EG10118,bioB,b0775
EG10440,ihfA,b1712
EG12051,yejO,b2190
G7607,alx,b3088
EG12343,ettA,b4391
EG11826,etk,b0981
EG11099,ybaA,b0456
G6483,elfG,b0941
EG11146,xapR,b2405
G0-10615,ykfK,b4628
EG10940,secF,b0409
G6159,ykgJ,b0288
G6397,pgl,b0767
EG12223,rbbA,b3486
G8210,srlA,b2702
G6480,elfA,b0938
G8208,molR_2,b2116
EG10179,cyoB,b0431
G7495,yqeC,b2876
EG10117,bioA,b0774
EG10317,fis,b3261
EG12049,yejM,b2188
G7521,yqgB,b2939
EG10571,mazE,b2783
EG11198,glmU,b3730
EG11097,yajD,b0410
G6290,sfmA,b0530
EG11092,crl,
G7243,ypdA,b2380
G6118,yafP,b0234
EG11221,zwf,b1852
EG12114,prfC,b4375
G7990,fruB,b2169
G6164,ecpA,b0293
G8205,gapC_1,b1417
EG12802,yrbG,b3196
G7484,ygeR,b2865
EG10419,gshB,b2947
EG10070,argR,b3237
EG12036,yeiQ,b2172
G7002,mgrB,b1826
G0-8895,tff,b4414
EG11824,yghB,b3009
EG11084,mraZ,b0081
EG12388,sfmF,b0534
EG11088,pdhR,b0113
G0-10614,ykfL,b4627
EG10939,secE,b3981
G6111,yafL,b0227
EG10411,gnd,b2029
EG12099,efp,b4147
G7856,ulaA,b4193
EG12363,ygiL,b3043
G8204,ydbA_2,b1405
EG10178,cyoA,b0432
G7466,yqeH,b2846
EG10418,gshA,b2688
EG10034,alaS,b2697
EG12035,yeiP,b2171
G7000,yobF,b1824
EG10203,dacC,b0839
EG11189,waaC,b3621
EG10433,hemX,b3803
EG12359,ybgD,b0719
EG11051,uhpA,b3669
G7198,yfcJ,b2322
G6107,yafJ,b0223
EG12316,acnB,b0118
EG11681,hpf,b3203
G7635,agaD,b3140
EG12328,yadN,b0141
G7898,yjgX_1,b4276
EG12760,garP,b3127
G7443,queE,b2777
G7508,idi,b2889
G7826,dcuR,b4124
EG12028,yeiI,b2160
G6855,asr,b1597
EG11821,amtB,b0451
EG10083,aroM,b0390
EG12327,yadM,b0138
EG11042,tyrR,b1323
G0-10604,sokA,b4614
EG10938,secD,b0408
G6103,yafV,b0219
EG10982,sucD,b0729
EG11404,ychF,b1203
G7633,agaW,b3134
EG12325,yadK,b0136
G7897,yjgX_2,b4275
EG10177,cynX,b0341
G7436,ygcR,b2770
G7423,ispD,b2747
G7244,ypdB,b2381
EG12027,yeiH,b2158
G6791,ydeP,b1501
EG10201,dacA,b0632
EG11188,htrL,b3618
EG10021,yjiA,b4352
EG12107,ppdD,b0108
EG11029,trpR,b4393
G7190,yfcC,b2298
G6102,yafU,b0218
EG10981,sucC,b0728
EG11128,yciH,b1282
G7632,agaV,b3133
EG12081,ppdA,b2826
G7671,yhcE_1,b3217
EG12754,cutP,b3110
G7435,ygcQ,b2769
G6912,menI,b1686
G6864,rstA,b1608
EG12023,yohJ,b2141
G6555,yceO,b1058
EG11815,torC,b0996
G7954,yjjY,b4402
EG11990,yehD,b2111
EG10992,tdcR,b3119
G0-10567,insM,b4561
EG10934,sdhD,b0722
G6101,yafT,b0217
EG10980,sucB,b0727
G6866,uidC,b1615
EG11033,tsf,b0170
G7264,murP,b2429
EG11987,yehA,b2108
G7557,yghX_2,b3000
EG10174,cydB,b0734
G7434,ygcP,b2768
G6365,ubiF,b0662
G6628,dhaR,b1201
EG12004,yehR,b2123
G6158,yagU,b0287
G0-16600,ralA,b4714
EG10183,cysA,b2422
EG10840,rfe,b3784
G7952,yjjV,b4378
EG11974,fimI,b4315
EG10989,tdcA,b3118
G7171,arnF,b2258
G6100,yafS,b0213
EG10979,sucA,b0726
G0-10752,agrB,b4713
EG10942,selB,b3590
G7250,fryB,b2387
EG11973,yadV,b0140
G7556,yghX_1,b2999
EG12738,exuT,b3093
G7432,ygcN,b2766
EG12715,dxr,b0173
G6515,torT,b0994
EG12003,yehQ,b2122
EG50009,gadA,b3517
G0-10751,agrA,b4712
EG11800,hybB,b2995
G7942,yjiY,b4354
EG11972,htrE,b0139
EG10974,srlR,b2707
G0-10564,ysdC,b4556
EG10933,sdhC,b0721
G6095,yaeR,b0187
EG10489,icd,b1136
EG10785,pth,b1204
G7249,fryC,b2386
EG11678,yadC,b0135
G7389,ygaQ,b4462
EG10173,cydA,b0733
G7418,ygbK,b2737
EG12438,menH,b2263
EG11618,baeR,b2079
EG11985,wbbK,b2032
EG12228,yhiM,b3491
EG20091,gpsA,b3608
G7649,yhbQ,b3155
EG10820,rcsA,b1951
G7937,yjiS,b4341
EG11156,ppdB,b2825
EG10843,rhaS,b3905
G7159,yfaV,b2246
EG10402,gltA,b0720
G6087,yaaY,b0024
EG11510,ppk,b2501
EG10762,prfB,b2891
G7246,fryA,b2383
EG11103,fimZ,b0535
G7155,yfaS_1,b2228
EG12732,sstT,b3089
G7417,ygbJ,b2736
EG12437,menE,b2260
EG11615,basR,b4113
EG11984,wbbJ,b2033
EG11889,dctR,b3507
EG11403,ppx,b2502
EG11798,hofC,b0106
G7931,yjiL,b4334
EG10315,fimH,b4320
EG10842,rhaR,b3906
EG10356,fumA,b1612
G0-10563,yrhC,b4552
EG10932,sdhB,b0724
G372,yaeP,b4406
EG10755,ppa,b4226
EG10761,prfA,b1211
G0-10241,sgcB,b4565
EG10314,fimG,b4319
G7154,yfaS_2,b2227
EG10168,lnt,b0657
G7400,ygaM,b2672
EG12362,menF,b2265
EG11609,evgA,b2369
EG11930,yjbL,b4047
EG11544,gadE,b3512
EG10738,pldA,b3821
G7564,yqhD,b3011
EG10614,lpxM,b1855
G7926,yjiG,b4329
EG10313,fimF,b4318
EG10819,rbsR,b3753
G7138,rcnA,b2106
G592,ldhA,b1380
G0-9081,ydaE,b4526
EG10727,phoA,b0383
EG10506,infC,b1718
EG12770,agaC,b3139
EG10312,fimE,b4313
G7066,yeeL_1,b1980
EG12720,ygjI,b3078
G7396,yqaE,b2666
EG11816,ispF,b2746
EG11285,glrR,b2554
EG11928,yjbJ,b4045
EG11501,adiA,b4117
EG10725,phnP,b4092
EG11773,nuoM,b2277
G7922,yjiC,b4325
EG10311,fimD,b4317
EG10731,phoP,b1130
EG50010,frmA,b0356
G0-10561,ypaA,b4543
EG10931,sdhA,b0723
G0-8892,mgtS,b4599
EG10723,phnN,b4094
EG10505,infB,b3168
EG12769,agaB,b3138
EG10310,fimC,b4316
G7065,yeeL_2,b1979
EG10167,cstA,b0598
G7384,ypjB,b2649
EG11532,menC,b2261
EG12712,luxS,b2687
EG11875,yiiR,b3921
EG11495,hdeD,b3511
EG10721,phnL,b4096
G7530,rdgB,b2954
EG10546,lpxB,b0182
G7901,yjhC,b4280
EG10309,fimB,b4312
EG10672,ompR,b3405
G7130,yegT,b2098
EG11169,ttdB,b3062
G0-8888,ypfM,b4606
EG10720,phnK,b4097
EG10504,infA,b0884
EG12766,agaA,b3135
EG10308,fimA,b4314
G7054,yedS_3,b1966
EG12713,yddG,b1473
G7382,ypjA,b2647
EG11476,ubiB,b3835
EG11853,yiiD,b3888
EG11490,gadB,b1493
EG10719,phnJ,b4098
EG11767,yhhJ,b3485
G7890,yjgR,b4263
G7841,rsgA,b4161
EG10643,narL,b1221
EG11168,ttdA,b3061
G0-10559,ynfP,b4534
EG10928,sbmA,b0377
G0-8887,yncL,b4598
EG10718,phnI,b4099
EG10360,fusA,b3340
EG12556,sgcC,b4304
G7319,der,b2511
G7053,yedS_2,b1965
EG10163,cpxA,b3911
G7338,yphB,b2544
EG11474,ubiJ,b3834
EG11833,yihG,b3862
EG11422,inaA,b2237
EG10717,phnH,b4100
G7399,alaE,b2670
EG10545,lpxA,b0181
G7886,yjgM,b4256
EG50004,rmf,b0953
EG10636,nagC,b0676
G7115,mdtC,b2076
EG10804,pykF,b1676
G0-16675,rzoQ,b4689
EG10716,phnG,b4101
G7510,sdhE,b2897
EG12554,sgcA,b4302
EG50002,rpmA,b3185
G7052,yedS_1,b1964
EG12709,yedI,b1958
G7321,yfgM,b2513
EG11473,ubiE,b3833
EG11820,yceI,b1056
EG11399,hdeB,b3509
G7455,csdE,b2811
EG11754,setA,b0070
G7884,yjgL,b4253
EG50001,rplU,b3186
EG10591,metR,b3828
EG10803,pykA,b1854
G0-10556,icdC,b4519
EG10816,rbsC,b3750
G0-16673,ymiB,b4672
G7454,csdA,b2810
G7402,nrdI,b2674
EG12495,ulaC,b4195
EG30100,ssrA,b2621
G7042,yedN_2,b1934
EG10145,creD,b4400
G7317,yfgI,b2506
EG11396,ubiD,b3843
EG11812,yjfC,b4186
EG11398,hdeA,b3510
G7038,dcyD,b1919
G7398,ygaP,b2668
EG10464,lpxL,b1054
G7880,bdcA,b4249
EG30091,rrfF,b3272
EG10588,metJ,b3938
G7114,mdtB,b2075
EG10756,ppc,b3956
G0-10656,yqfG,b4684
G6952,ynjE,b1757
G7324,iscU,b2529
EG12494,ulaB,b4194
EG30090,rrsH,b0201
G7041,yedN_3,b1933
EG12662,gltK,b0653
G7298,ypfJ,b2475
EG11369,ubiC,b4039
G6209,frmR,b0357
EG11786,yfiF,b2581
EG11078,nhaR,b0020
G6909,sufB,b1683
EG11753,chaA,b1216
G7879,yjgH,b4248
EG30089,rrsG,b2591
EG10564,malY,b1622
EG10701,pflB,b0903
G0-10555,ybcD,b4508
EG10807,pyrD,b0945
G0-10654,ykgR,b4671
G6908,sufC,b1682
G7201,epmC,b2326
EG12415,gatB,b2093
EG30088,rrsE,b4007
G6927,arpB_2,b1721
EG10141,chbC,b1737
G7286,eutN,b2456
EG11368,menB,b2262
G7944,lgoR,b4357
EG11770,ybbD,b0500
EG10529,lepA,b2569
G6907,sufD,b1681
G7323,yfhM,b2520
EG10382,glmS,b3729
G7862,yjfZ,b4204
EG30087,rrsD,b3278
EG10562,malT,b3418
G7113,mdtA,b2074
EG10481,hycH,b2718
G0-10653,azuC,b4663
G6906,sufS,b1680
G7105,wzc,b2060
EG12322,yadI,b0129
EG30086,rrsC,b3756
G6926,arpB_1,b1720
EG12661,gltJ,b0654
G7260,yfeK,b2419
EG11333,ubiI,b2906
G7909,yjhU,b4295
EG11769,ybbC,b0498
EG10131,cadA,b4131
G6788,ydeN,b1498
EG11742,yddA,b1496
G7847,yjfJ,b4182
EG30085,rrsB,b3968
EG10557,malI,b1620
EG10480,hycG,b2719
G0-10515,yjhW,b4562
EG10802,putP,b1015
G0-10650,yqeL,b4683
G6477,ssuD,b0935
G6969,yeaG,b1783
EG11912,frwD,b3953
EG30084,rrsA,b3851
G6722,ydbA_1,b1401
EG10139,cdsA,b0175
G7238,yfdX,b2375
EG11324,ubiH,b2907
G7882,bdcR,b4251
EG11765,yibI,b3598
G7923,iraD,b4326
EG12423,tauD,b0368
G6939,spy,b1743
EG10316,lpxD,b0179
G7829,yjdJ,b4127
EG30083,rrlH,b0204
EG10551,lysR,b2839
G7927,yjiH,b4330
G7070,yeeO,b1985
EG10478,hycE,b2721
G0-10646,ynbG,b4674
EG11955,yjcS,b4083
G6503,etp,b0982
EG11909,frwB,b3950
EG30082,rrlG,b2589
G6610,ycgH_2,b1170
EG12631,gntU,b4476
G7214,yfcZ,b2343
EG11294,ispE,b1208
G7869,ytfH,b4212
EG11760,ydcD,b1457
G7877,ridA,b4243
EG11705,yidJ,b3678
EG11737,metI,b0198
G7804,ysgA,b3830
EG30081,rrlE,b4009
EG10547,lrp,b0889
G7915,sgcQ,b4303
EG10475,hycB,b2724
G0-10431,yafF,b4503
EG10787,ptsG,b1101
G0-10644,yobI,b4677
EG11601,sseB,b2522
G6468,ycaO,b0905
EG11908,frwC,b3949
EG30080,rrlD,b3275
G6609,ycgH_1,b1169
EG10132,cadB,b4132
G7209,yfcU_1,b2338
EG11143,ubiG,b2232
G7863,ytfA,b4205
EG11759,yciK,b1271
G7852,bsmA,b4189
EG11600,mstA,b2521
G6615,pliG,b1178
EG10265,lpxC,b0096
G7802,yzcX,b3808
EG30079,rrlC,b3758
EG10531,leuO,b0076
G7853,yjfP,b4190
G7067,shiA,b1981
EG10358,fumC,b1611
G0-10642,yjeV,b4670
EG11378,sufA,b1684
G6435,rimO,b0835
EG11864,frvA,b3900
EG30078,rrlB,b3970
G6525,efeU_1,b1016
EG12626,dppC,b3542
G7208,yfcU_2,b2337
EG11044,ubiX,b2311
G7673,yhcF,b3219
EG11726,cbrB,b3716
G7816,cpxP,b4484
EG10194,cysN,b2751
EG11732,hsrA,b3754
G7763,yrhB,b3446
EG30077,rrlA,b3854
EG10525,lacI,b0345
G7837,blc,b4149
EG10357,fumB,b4122
EG12226,yhiK,b3489
EG10784,pstC,b3727
G0-10641,ilvX,b4669
EG10191,cysJ,b2764
G6340,citX,b0614
EG11863,frvB,b3899
EG30076,rrfH,b0205
G0-10697,,
EG10127,btuC,b1711
G7202,smrB,b2331
EG10579,menD,b2264
G7657,ibaG,b3190
EG11697,yidI,b3677
G7683,yhcN,b3238
EG10190,cysI,b2763
G6334,uspG,b0607
G7028,flhB,b1880
G7752,yzgL,b3427
EG30075,rrfG,b2588
EG10517,kdpE,b0694
G7756,yhhW,b3439
G7037,tcyL,b1918
EG10031,adhE,b1241
G0-10616,ythA,b4655
EG10189,cysH,b2762
EG12449,prmB,b2330
EG11792,cmtA,b2933
EG30074,rrfE,b4010
G0-10683,yhiS_2,b3504
EG12625,dppB,b3543
G7197,rpnB,b2305
EG10508,ispA,b0421
G7601,higA,b3082
EG11683,yicG,b3646
G7647,yhbO,b3153
EG10186,cysD,b2752
EG11720,mdtL,b3710
G7735,yhfZ,b3383
EG30073,rrfD,b3274
EG10503,ilvY,b3773
G7742,yrfG,b3399
EG11091,frsA,b0239
EG12208,ybeM_1,b0625
EG10782,pstA,b3726
G0-10608,ytcA,b4622
EG10185,cysC,b2750
EG12424,prmC,b1212
EG11791,cmtB,b2934
EG30072,rrfC,b3759
G0-10570,insB-7_2,b4564
EG10115,bglF,b3722
G7188,yfbU,b2294
EG10370,ispG,b2515
G7594,yqjI,b3071
EG11664,slyX,b3348
G7574,ygiW,b3024
EG10089,aslA,b3801
G6174,rclA,b0304
G6562,flgN,b1070
G7730,yhfU,b3378
EG30071,rrfB,b3971
EG10491,iclR,b4018
G7732,yhfW,b3380
G7004,yebQ,b1828
G7306,hyfI,b2489
G0-10607,yjbS,b4621
EG10043,cysQ,b4214
EG12360,yfaE,b2236
EG11710,glvC,b3683
EG30070,rrfA,b3855
G0-10569,insB-7_1,b4563
EG12623,ybaL,b0478
G7177,yfbK,b2270
EG10017,ispB,b3187
G7575,qseB,b3025
EG11605,smg,b3284
G7532,yggX,b2962
G7596,patA,b3073
EG11706,yidK,b3679
G7722,yhfL,b3369
EG30027,ffs,b0455
EG10490,argP,b2916
G7731,php,b3379
G7305,hyfH,b2488
EG12161,eaeH,b0297
EG10781,pssA,b2585
G0-10603,yrhD,b4612
G6944,astC,b1748
EG12147,npr,b3206
EG11709,glvB,b3682
EG12794,yhbY,b3180
G0-10565,yjgX_3,b4560
EG10112,betT,b0314
G7173,elaB,b2266
EG12189,hemF,b2436
G7573,ygiV,b3023
EG11581,hcxB,b0801
G7415,pphB,b2734
G6755,patD,b1444
G6173,rclB,b0303
G379,fliK,b1943
G7718,yheT,b3353
EG11508,sra,b1480
EG10474,hycA,b2725
G7644,yraP,b3150
G6999,mntP,b1821
G7304,hyfG,b2487
G0-10601,ygdT,b4610
G6523,rutA,b1012
EG11804,hybF,b2991
EG10970,srlB,b2704
EG11232,rpmJ,b3299
G0-10562,yhcE_2,b4549
EG12591,opgB,b4359
G7165,ais,b2252
EG11836,hemN,b3867
G7547,yghO,b2981
EG11580,ybiB,b0800
G7348,rseB,b2571
G6522,rutB,b1011
EG11704,acrB,b0462
G7695,yhdV,b3267
EG11231,rpmI,b1717
EG10400,glpR,b3423
G7639,yraJ,b3144
G6775,adhP,b1478
EG11778,ybfH,b0691
EG10775,psd,b4160
G0-10596,ypaB,b4605
G6521,rutC,b1010
EG11802,hybD,b2993
EG10969,srlE,b2703
EG11543,hemE,b3997
EG11179,rimP,b3170
G0-10560,wbbL_2,b4540
EG10109,betA,b0311
G7162,yfaY,b2249
G7472,ygeH,b2852
EG11525,yhhI,b3484
G7194,yfcG,b2302
G6520,rutD,b1009
G6171,rclC,b0301
G378,fliJ,b1942
G7694,yhdU,b3263
EG11485,hemG,b3850
EG11153,rimM,b2608
EG10385,glnG,b3868
G7615,yqjF,b3101
G6987,yeaV,b1801
EG12332,erpA,b0156
G0-10595,yojO,b4604
G6519,rutE,b1008
EG11602,glnE,b3053
EG10563,malX,b1621
EG10432,hemL,b0154
EG11151,raiA,b2597
G0-10558,yncK_2,b4530
EG12587,lgoT,b4356
G7148,pdeN,b2176
G7397,ygaV,b2667
EG11523,ybfC,b0704
G7193,yfcF,b2301
G6518,rutF,b1007
EG11703,acrA,b0463
G7687,aaeX,b3242
EG10431,hemH,b0475
EG10975,srmB,b2576
EG10365,galS,b2151
G7608,ygjV,b3090
EG12068,napF,b2208
G0-10591,yciZ,b4596
EG10772,proW,b2678
EG11777,ybfG,b0690
G6457,hcp,b0873
EG11551,hypF,b2712
EG10165,crr,b2417
EG10430,hemD,b3804
EG10920,rpsU,b3065
G7112,yegL,b2073
G0-10557,yncK_1,b4531
EG10106,atpI,b3739
G7344,yphH,b2550
EG11521,ybfA,b0699
G7060,msrQ,b1972
G6286,allD,b0517
G6104,ivy,b0220
G377,fliI,b1941
G7670,yhcD,b3216
EG10429,hemC,b3805
EG10919,rpsT,b0023
EG10364,galR,b2837
G7578,yqiA,b3031
G6977,nimT,b1791
EG11910,pflD,b3951
G0-10590,ymgJ,b4594
G6285,allC,b0516
EG11440,|def|,b3287
EG10142,chbA,b1736
EG10428,hemB,b0369
EG10918,rpsS,b3316
G7109,yegI,b2070
EG12576,mdtM,b4337
G0-10495,efeU_2,b1017
G7262,murR,b2427
EG11520,yhhH,b3483
G7059,msrP,b1971
G6284,allE,b0515
M015,hcaF,b2539
EG11700,pnuC,b0751
G7669,yhcC,b3211
EG10427,hemA,b1210
EG10917,rpsR,b4202
EG10353,fucR,b2805
G7567,yqhH,b3014
EG11552,hydN,b2713
EG10766,secY,b3300
G0-10589,ymgI,b4593
EG11611,ychG_2,b1239
G6281,allB,b0512
EG11430,roxA,b1128
EG10140,chbB,b1738
EG10188,cysG,b3368
EG10916,rpsQ,b3311
EG10105,atpH,b3735
G7087,yeeX,b2007
EG50008,cybC,b4236
G7161,yfaX,b2248
EG11509,mbiA,b0012
G7046,yodD,b1953
G6275,allA,b0505
M014,mhpF,b0351
G0-10716,iroK,b4706
G370,flhA,b1879
G7654,yhbW,b3160
G6349,cobC,b0638
EG10915,rpsP,b2609
EG10301,fhlA,b2731
G7531,yggW,b2955
G6975,yeaL,b1789
EG11150,hyfA,b2481
G0-10588,appX,b4592
EG12345,ydfG,b1539
EG11411,glnD,b0167
EG13238,cobU,b1993
EG10914,rpsO,b3165
EG12563,gntP,b4321
G7068,yeeN,b1983
EG12238,yhiS_1,b3504
G6985,dmlR,b1799
EG11484,yigZ,b3848
G7011,pphA,b1838
EG12188,ptsP,b2829
M013,mhpD,b0350
EG11693,emrD,b3673
G7653,yhbV,b3159
EG12151,cobT,b1991
EG10913,rpsN,b3307
EG10291,fecI,b4293
G7499,ygfM,b2880
EG10655,nirD,b3366
EG10754,poxB,b0871
G0-10586,ybfK,b4590
EG11496,prfH,b0236
EG10724,phnO,b4093
EG10853,rimL,b1427
G6545,csgE,b1039
EG12150,cobS,b1992
EG10912,rpsM,b3298
EG12103,gapC_2,b1416
EG10104,atpG,b3733
G7058,yedX,b1970
G6976,nimR,b1790
EG11462,yigE,b4482
G6756,ortT,b1445
EG10404,gltD,b3213
M012,mhpC,b0349
EG31116,oxyS,b4458
G369,flgM,b1071
G7646,yraR,b3152
EG10130,btuR,b1270
EG10911,rpsL,b3342
EG10268,envY,b0566
G7498,ssnA,b2879
G6962,ydjK,b1775
EG10653,nirB,b3365
G0-10585,ylcI,b4589
EG10403,gltB,b3212
EG10852,rimK,b0852
EG11906,ptsA,b3947
EG10261,entC,b0593
EG10910,rpsK,b3297
EG11992,molR_1,b2115
EG12548,yjhF,b4296
G7048,yedP,b1955
G6957,ydjF,b1770
EG11429,yjaZ,b3989
G6606,ariR,b1166
EG10383,glnA,b3870
M010,mhpA,b0347
EG11691,adeQ,b3664
G7645,yraQ,b3151
EG10259,entA,b0596
EG10909,rpsJ,b3321
EG10254,ebgR,b3075
G7497,ygfK,b2878
EG10483,hypA,b2726
EG10753,potE,b0692
G0-10550,yahH,b0322
EG11386,yjiV,b4486
EG10176,cynT,b0339
EG10851,rimJ,b1066
EG10789,ptsI,b2416
EG50011,folP,b3177
EG10908,rpsI,b3230
EG11986,wbbL_1,b2031
EG10103,atpF,b3736
G7027,flhE,b1878
G6919,ydiP,b1696
EG11395,yijD,b3964
G58,maa,b0459
G7237,frc,b2374
M009,hcaE,b2538
EG12633,nudF,b3034
G366,flgJ,b1081
G7626,tdcF,b3113
EG11673,folB,b3058
EG10907,rpsH,b3306
EG10223,deoR,b0840
G7492,hyuA,b2873
G6950,ynjC,b1755
EG10257,edd,b1851
G0-10513,yciX,b4523
G6848,ynfH,b1590
EG10850,rimI,b4373
EG10788,ptsH,b2415
EG11493,pabC,b1096
EG10906,rpsG,b3341
EG10498,ilvG_2,b3768
EG12544,yjhB,b4279
G7014,yobA,b1841
G6889,nemR,b1649
G198,yajL,b0424
G6847,ynfG,b1589
GB4478,dgoD,b4478
EG11383,elbB,b3209
EG11689,nepI,b3662
G7621,yhaL,b3107
EG11375,folE,b2153
EG10905,rpsF,b4200
EG10143,chbR,b1735
G7451,syd,b2793
EG10337,fruK,b2168
EG10010,rhsE,b1456
EG10751,potC,b1124
G0-10512,ymiA,b4522
G6846,ynfF,b1588
EG10570,map,b0168
G7875,tamB,b4221
EG11374,folK,b0142
EG10904,rpsE,b3303
EG10102,atpE,b3737
G7013,yebZ,b1840
G6853,ynfL,b1595
EG12657,ygiN,b3029
G6845,ynfE,b1587
G81,uxaC,b3092
EG12244,yhjA,b3518
G365,flgI,b1080
G7606,ygjR,b3087
EG11138,nudB,b1865
EG10903,rpsD,b3296
EG10133,cadC,b4133
G7450,yqcC,b2792
G6917,ydiN,b1691
G0-10468,yibT,b4554
G6670,abgA,b1338
EG10488,iap,b2753
G7874,tamA,b4220
EG10683,pabB,b1812
EG10902,rpsC,b3314
EG12539,idnT,b4265
G7007,yebT,b1834
G6774,yddM,b1477
EG12436,rseP,b0176
G6669,abgB,b1337
G7945,lgoD,b4358
EG11342,ychE,b1242
EG11688,yicL,b3660
G7598,ygjJ,b3079
EG10682,pabA,b3360
EG10901,rpsB,b0169
EG10123,birA,b3973
G7371,yfjS,b2636
EG10750,potB,b1125
G0-10461,ypdJ,b4545
EG12384,ybcF,b0521
EG10487,hypE,b2730
G7097,wzxC,b2046
EG11796,lplA,b4386
EG10900,rpsA,b0911
EG10101,atpD,b3732
G6998,yobD,b1820
G6761,mcbR,b1450
EG12394,msrB,b1778
EG11762,yibF,b3592
G7920,nanM,b4310
EG12209,crcB,b0624
G364,flgH,b1079
